dataset,nprobe,index_type,processor,search_latency/ms,throughput/QPS,R_1,R_10,R_100,cpu_usage/%
text10M,1,"IVF512,Flat",cpu,1319.559734392166,0.7578285195710628,100,100,100,1.8
text10M,2,"IVF512,Flat",cpu,134.40980650424956,7.439933335283714,100,100,100,85.2
text10M,4,"IVF512,Flat",cpu,447.6216126823425,2.234029751172127,100,100,100,90.3
text10M,8,"IVF512,Flat",cpu,161.99198889493942,6.173144775996016,100,100,100,95.9
text10M,16,"IVF512,Flat",cpu,143.37172784328462,6.974875835304645,100,100,100,95.7
text10M,32,"IVF512,Flat",cpu,156.79240673542023,6.377859877407538,100,100,100,94.4
text10M,64,"IVF512,Flat",cpu,174.17948939800263,5.741204107648896,100,100,100,95.5
text10M,128,"IVF512,Flat",cpu,195.11189833164215,5.1252640589875575,100,100,100,95.4
text10M,256,"IVF512,Flat",cpu,213.49127421855925,4.684032186609469,100,100,100,98.2
text10M,512,"IVF512,Flat",cpu,239.8541359806061,4.1692005681355315,100,100,100,96.0
,,,,,,,,,
dataset,nprobe,index_type,processor,search_latency/ms,throughput/QPS,R_1,R_10,R_100,cpu_usage/%
text10M,1,"IVF1024,Flat",cpu,2182.155843257904,0.45826241195817846,100,100,100,2.2
text10M,2,"IVF1024,Flat",cpu,136.19503537654876,7.34241154411557,100,100,100,82.7
text10M,4,"IVF1024,Flat",cpu,437.7344930744171,2.284489835325805,100,100,100,87.5
text10M,8,"IVF1024,Flat",cpu,161.58673075675964,6.188626970275943,100,100,100,88.7
text10M,16,"IVF1024,Flat",cpu,139.1983122062683,7.183995151594723,100,100,100,96.1
text10M,32,"IVF1024,Flat",cpu,153.27069623470305,6.524404367999362,100,100,100,95.4
text10M,64,"IVF1024,Flat",cpu,164.23132236480714,6.088972466401381,100,100,100,96.9
text10M,128,"IVF1024,Flat",cpu,163.268233628273,6.124890174758594,100,100,100,94.7
text10M,256,"IVF1024,Flat",cpu,195.94278903961182,5.103530499394085,100,100,100,99.0
text10M,512,"IVF1024,Flat",cpu,223.35373723745346,4.477202899617805,100,100,100,95.7
,,,,,,,,,
dataset,nprobe,index_type,processor,search_latency/ms,throughput/QPS,R_1,R_10,R_100,cpu_usage/%
text10M,1,"IVF2048,Flat",cpu,4108.777878553868,0.2433813726508773,100,100,100,3.7
text10M,2,"IVF2048,Flat",cpu,138.42200674295427,7.224284805066954,100,100,100,72.5
text10M,4,"IVF2048,Flat",cpu,428.7700157904625,2.332252637014372,100,100,100,78.8
text10M,8,"IVF2048,Flat",cpu,153.29282581806183,6.523462495152035,100,100,100,90.5
text10M,16,"IVF2048,Flat",cpu,125.81557726144791,7.948141412743949,100,100,100,95.4
text10M,32,"IVF2048,Flat",cpu,133.19206916093827,7.507954537380771,100,100,100,96.3
text10M,64,"IVF2048,Flat",cpu,131.80357229709625,7.58704777550275,100,100,100,96.9
text10M,128,"IVF2048,Flat",cpu,132.616422894001,7.540544211475906,100,100,100,95.7
text10M,256,"IVF2048,Flat",cpu,135.57188052654266,7.376160868434787,100,100,100,96.0
text10M,512,"IVF2048,Flat",cpu,143.52868685483932,6.967248303549035,100,100,100,96.7
,,,,,,,,,
dataset,nprobe,index_type,processor,search_latency/ms,throughput/QPS,R_1,R_10,R_100,cpu_usage/%
text10M,1,"IVF4096,Flat",cpu,1791.2000914502144,0.5582849201343928,100,100,100,7.0
text10M,2,"IVF4096,Flat",cpu,128.03541637182235,7.810338954152664,100,100,100,64.7
text10M,4,"IVF4096,Flat",cpu,408.32362644672395,2.4490378102832486,100,100,100,65.0
text10M,8,"IVF4096,Flat",cpu,159.24293876171112,6.279713297029678,100,100,100,60.3
text10M,16,"IVF4096,Flat",cpu,132.5754612827301,7.542874000395915,100,100,100,91.2
text10M,32,"IVF4096,Flat",cpu,142.3963083076477,7.0226539710530735,100,100,100,94.7
text10M,64,"IVF4096,Flat",cpu,146.6233412361145,6.820196508751309,100,100,100,97.1
text10M,128,"IVF4096,Flat",cpu,155.186932117939,6.443841542276381,100,100,100,95.9
text10M,256,"IVF4096,Flat",cpu,161.61575602054597,6.187515528330489,100,100,100,94.7
text10M,512,"IVF4096,Flat",cpu,173.3441397333145,5.768871111180766,100,100,100,96.7
,,,,,,,,,
